species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bird1,5,6,0.001,-0.7192979149247163,36864,197
bird1,5,6,0.01,-0.7149433812675525,36864,197
bird1,5,6,0.1,-0.7130492459270197,36864,197
bird1,0,7,0.001,-1.9382418221008464,1,1
bird1,0,7,0.01,-1.938241818177928,1,1
bird1,0,7,0.1,-1.938241779086023,1,1
bird1,1,7,0.001,-0.7300232239287615,9,8
bird1,1,7,0.01,-0.7295045185975669,9,8
bird1,1,7,0.1,-0.7290053788467376,9,8
bird1,2,7,0.001,-0.7129616415810869,72,37
bird1,2,7,0.01,-0.7120077205525913,72,37
bird1,2,7,0.1,-0.7112600666196943,72,37
bird1,3,7,0.001,-0.6978202066219541,576,81
bird1,3,7,0.01,-0.695415118160014,576,81
bird1,3,7,0.1,-0.69378487966819,576,81
bird1,4,7,0.001,-0.7130263303499772,4608,142
bird1,4,7,0.01,-0.7083598717874999,4608,142
bird1,4,7,0.1,-0.7054755392437471,4608,142
bird1,5,7,0.001,-0.7401257459419861,36864,219
bird1,5,7,0.01,-0.7331189454089786,36864,219
bird1,5,7,0.1,-0.7292126911053559,36864,219
bird1,0,8,0.001,-1.932421651958298,1,1
bird1,0,8,0.01,-1.932421657492818,1,1
bird1,0,8,0.1,-1.9324217129727193,1,1
bird1,1,8,0.001,-0.7209500544115645,9,8
bird1,1,8,0.01,-0.7206945607382278,9,8
bird1,1,8,0.1,-0.7204707185958574,9,8
bird1,2,8,0.001,-0.7027621328620353,72,31
bird1,2,8,0.01,-0.7022243271525405,72,31
bird1,2,8,0.1,-0.70185986554266,72,31
bird1,3,8,0.001,-0.6874230753107078,576,72
bird1,3,8,0.01,-0.685150311257634,576,72
bird1,3,8,0.1,-0.6834624540685748,576,72
bird1,4,8,0.001,-0.7019223244015546,4608,132
bird1,4,8,0.01,-0.6978464116071509,4608,132
bird1,4,8,0.1,-0.6951877963038338,4608,132
bird1,5,8,0.001,-0.7245699677320232,36864,208
bird1,5,8,0.01,-0.7186665185584378,36864,208
bird1,5,8,0.1,-0.7152062666419169,36864,208
bird1,0,9,0.001,-1.9388307761683972,1,1
bird1,0,9,0.01,-1.9388307714829478,1,1
bird1,0,9,0.1,-1.9388307247668919,1,1
bird1,1,9,0.001,-0.7211144207907636,9,8
bird1,1,9,0.01,-0.7207179514861326,9,8
bird1,1,9,0.1,-0.7203395712192715,9,8
bird1,2,9,0.001,-0.7046704890314414,72,38
bird1,2,9,0.01,-0.703128308692325,72,38
bird1,2,9,0.1,-0.7018656579381692,72,38
bird1,3,9,0.001,-0.6922323251860093,576,85
bird1,3,9,0.01,-0.6891776347532822,576,85
bird1,3,9,0.1,-0.6870103144479995,576,85
bird1,4,9,0.001,-0.7078784430369621,4608,150
bird1,4,9,0.01,-0.703252569854526,4608,150
bird1,4,9,0.1,-0.700465144198262,4608,150
bird1,5,9,0.001,-0.7298924392928967,36864,227
bird1,5,9,0.01,-0.7230452598889172,36864,227
bird1,5,9,0.1,-0.7192624280019813,36864,227
bird1,0,10,0.001,-1.9317056376034132,1,1
bird1,0,10,0.01,-1.9317056454202306,1,1
bird1,0,10,0.1,-1.9317057237231325,1,1
bird1,1,10,0.001,-0.7239829388643985,9,8
bird1,1,10,0.01,-0.7235949734818894,9,8
bird1,1,10,0.1,-0.7232209019227,9,8
bird1,2,10,0.001,-0.7061596709034788,72,40
bird1,2,10,0.01,-0.7052114626835722,72,40
bird1,2,10,0.1,-0.7045072142958203,72,40
bird1,3,10,0.001,-0.6898589993270026,576,86
bird1,3,10,0.01,-0.6883524664245294,576,86
bird1,3,10,0.1,-0.687681008224721,576,86
bird1,4,10,0.001,-0.7107024866326533,4608,149
bird1,4,10,0.01,-0.7048753695804202,4608,149
bird1,4,10,0.1,-0.7014620124744116,4608,149
bird1,5,10,0.001,-0.7359736378220997,36864,223
bird1,5,10,0.01,-0.7271268642192088,36864,223
