,species,k,lag,smoother,log_likelihood,num_train_states,num_test_states
102,bre,2,30,0.01,-0.06211083513980892,100,65
103,bre,2,40,0.01,-0.06397170801532205,100,67
104,bre,2,50,0.01,-0.06573248988266532,100,71
105,bre,2,60,0.01,-0.06756632371287583,100,73
106,bre,2,70,0.01,-0.06318975390241595,100,76
107,bre,2,80,0.01,-0.06349775150873141,100,81
108,bre,2,90,0.01,-0.06374145231240591,100,82
109,bre,2,100,0.01,-0.06437230661324092,100,83
110,bre,2,1,0.1,-0.0639091243626304,100,49
111,bre,2,10,0.1,-0.06280956039827137,100,55
112,bre,2,20,0.1,-0.06215954098673124,100,60
113,bre,2,30,0.1,-0.06212083271157043,100,65
114,bre,2,40,0.1,-0.06365256957134113,100,67
115,bre,2,50,0.1,-0.06537318536274483,100,71
116,bre,2,60,0.1,-0.06720707569312041,100,73
117,bre,2,70,0.1,-0.06334646266050457,100,76
118,bre,2,80,0.1,-0.06341079391199257,100,81
119,bre,2,90,0.1,-0.06359143878810125,100,82
120,bre,2,100,0.1,-0.0640841632104089,100,83
121,bre,2,1,1.0,-0.06523743166097755,100,49
122,bre,2,10,1.0,-0.06385286604005541,100,55
123,bre,2,20,1.0,-0.06377905503004469,100,60
124,bre,2,30,1.0,-0.06448041758511883,100,65
125,bre,2,40,1.0,-0.06577672809254842,100,67
126,bre,2,50,1.0,-0.06742256061029543,100,71
127,bre,2,60,1.0,-0.06926870196869855,100,73
128,bre,2,70,1.0,-0.0671776018572234,100,76
129,bre,2,80,1.0,-0.06675994930848526,100,81
130,bre,2,90,1.0,-0.06691347008680057,100,82
131,bre,2,100,1.0,-0.0674209293403344,100,83
132,bre,3,1,0.001,-0.06441254433549655,1000,94
133,bre,3,10,0.001,-0.06452034505783533,1000,163
134,bre,3,20,0.001,-0.0687326437434895,1000,197
135,bre,3,30,0.001,-0.07149520114266185,1000,221
136,bre,3,40,0.001,-0.0754954585380691,1000,237
137,bre,3,50,0.001,-0.08340551743702196,1000,252
138,bre,3,60,0.001,-0.08945432995836425,1000,278
139,bre,3,70,0.001,-0.09076465224519734,1000,284
140,bre,3,80,0.001,-0.08604056373864967,1000,290
141,bre,3,90,0.001,-0.10440161048308468,1000,304
142,bre,3,100,0.001,-0.10005569577358236,1000,308
143,bre,3,1,0.01,-0.06406664031839654,1000,94
144,bre,3,10,0.01,-0.06361303833902791,1000,163
145,bre,3,20,0.01,-0.06714273814114607,1000,197
146,bre,3,30,0.01,-0.0700282316600348,1000,221
147,bre,3,40,0.01,-0.07379113681811898,1000,237
148,bre,3,50,0.01,-0.08069536145804909,1000,252
149,bre,3,60,0.01,-0.08621840044357451,1000,278
150,bre,3,70,0.01,-0.08721880495829087,1000,284
151,bre,3,80,0.01,-0.08229244157682002,1000,290
152,bre,3,90,0.01,-0.09712623773443912,1000,304
153,bre,3,100,0.01,-0.09540236404497635,1000,308
154,bre,3,1,0.1,-0.06401634738432566,1000,94
155,bre,3,10,0.1,-0.06336650569453196,1000,163
156,bre,3,20,0.1,-0.0665473299296923,1000,197
157,bre,3,30,0.1,-0.06977991465234157,1000,221
158,bre,3,40,0.1,-0.07350455239711443,1000,237
159,bre,3,50,0.1,-0.07958381105155214,1000,252
160,bre,3,60,0.1,-0.08497899263722146,1000,278
161,bre,3,70,0.1,-0.0858175356124245,1000,284
162,bre,3,80,0.1,-0.08131674092073941,1000,290
163,bre,3,90,0.1,-0.09275959605381469,1000,304
164,bre,3,100,0.1,-0.09335368177511959,1000,308
165,bre,3,1,1.0,-0.06638821623689958,1000,94
166,bre,3,10,1.0,-0.06799632185754201,1000,163
167,bre,3,20,1.0,-0.07312333796862101,1000,197
168,bre,3,30,1.0,-0.07846704238249909,1000,221
169,bre,3,40,1.0,-0.0838219039413374,1000,237
170,bre,3,50,1.0,-0.09088355337842291,1000,252
171,bre,3,60,1.0,-0.09770643676064837,1000,278
172,bre,3,70,1.0,-0.10001771286298453,1000,284
