,sim,alpha,corpusSize,trueK,bestK,best_ll,correct,entropy,nStates,way,bestLag
62,1,0.5,50,0,0,-1.4479980672697361,1,0.9038991271765663,5,semicol,
63,1,0.5,50,0,0,-0.7511310804343841,1,0.485783423860863,5,lagged,0.0
64,1,0.5,100,0,0,-0.859281131689842,1,0.5307193548040039,5,semicol,
65,1,0.5,100,0,3,-0.44705270481725123,0,0.2768290398630748,5,lagged,50.0
66,1,1.0,10,0,0,-1.2672102395808664,1,0.8038107379895653,5,semicol,
67,1,1.0,10,0,0,-1.253109645087827,1,0.7922956058665769,5,lagged,0.0
68,1,1.0,50,0,0,-1.4997224850072808,1,0.9317091258351837,5,semicol,
69,1,1.0,50,0,1,-1.0831237190934841,0,0.673396032037148,5,lagged,50.0
70,1,1.0,100,0,0,-1.131875545095244,1,0.7038562568678014,5,semicol,
71,1,1.0,100,0,0,-1.2391397124803103,1,0.7685849371818638,5,lagged,0.0
72,1,0.1,10,1,4,-0.18502542289914997,0,0.0,2,semicol,
73,1,0.1,10,1,1,-0.17212736143520488,1,0.0,2,lagged,30.0
74,1,0.1,50,1,4,-0.21367549962366694,0,0.0,2,semicol,
75,1,0.1,50,1,3,-0.15425519412742045,0,0.0,2,lagged,50.0
76,1,0.1,100,1,2,-0.1879475640660996,0,0.0,2,semicol,
77,1,0.1,100,1,1,-0.19768805793802166,1,0.0,2,lagged,20.0
78,1,0.5,10,1,4,-0.21190428718203183,0,0.0,2,semicol,
79,1,0.5,10,1,3,-0.1887268639680203,0,0.0,2,lagged,50.0
80,1,0.5,50,1,1,-0.19196042650342782,1,0.0,2,semicol,
81,1,0.5,50,1,1,-0.18027043301875662,1,0.0,2,lagged,20.0
82,1,0.5,100,1,2,-0.19602235374922092,0,0.0,2,semicol,
83,1,0.5,100,1,1,-0.19771155594014245,1,0.0,2,lagged,20.0
84,1,1.0,10,1,4,-0.19975047285449615,0,0.0,2,semicol,
85,1,1.0,10,1,3,-0.08505152629540072,0,0.0,2,lagged,50.0
86,1,1.0,50,1,2,-0.2102644794322051,0,0.0,2,semicol,
87,1,1.0,50,1,1,-0.19712862677511914,1,0.0,2,lagged,20.0
88,1,1.0,100,1,3,-0.2088206079699507,0,0.0,2,semicol,
89,1,1.0,100,1,1,-0.19419536912805765,1,0.0,2,lagged,30.0
90,1,0.1,10,1,4,-0.21105986976101904,0,0.1943416515067797,3,semicol,
91,1,0.1,10,1,1,-0.2403480089186473,1,0.3050262143736558,3,lagged,20.0
92,1,0.1,50,1,4,-0.18743779338356828,0,0.3386910097730346,3,semicol,
93,1,0.1,50,1,2,-0.188857029727454,0,0.21836840734108745,3,lagged,50.0
94,1,0.1,100,1,2,-0.18441681532781212,0,0.0462861285280504,3,semicol,
95,1,0.1,100,1,3,-0.15651955744300466,0,0.4292531051197308,3,lagged,50.0
96,1,0.5,10,1,2,-0.2237480080827738,0,0.5581980642453026,3,semicol,
97,1,0.5,10,1,2,-0.21023208865201756,0,0.42319704789408435,3,lagged,20.0
98,1,0.5,50,1,2,-0.21589192930521922,0,0.4663173668511907,3,semicol,
99,1,0.5,50,1,2,-0.2615275428492366,0,0.8569442300033033,3,lagged,50.0
100,1,0.5,100,1,2,-0.20076140603887857,0,0.29241838335987763,3,semicol,
101,1,0.5,100,1,2,-0.1924719318652744,0,0.44246121169893565,3,lagged,50.0
102,1,1.0,10,1,1,-0.28164886540789413,1,0.8822361208384432,3,semicol,
103,1,1.0,10,1,1,-0.18031396218959683,1,0.6062348526059546,3,lagged,50.0
104,1,1.0,50,1,1,-0.21763228765659895,1,0.6270329394482301,3,semicol,
105,1,1.0,50,1,3,-0.24978926848967478,0,0.7260064875214375,3,lagged,50.0
106,1,1.0,100,1,1,-0.23744560539963894,1,0.8507098537706564,3,semicol,
107,1,1.0,100,1,3,-0.2468116856353492,0,0.6576569748232787,3,lagged,30.0
108,1,0.1,10,1,2,-0.23117785663722565,0,0.11872548538036483,4,semicol,
