species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bird1,5,6,0.001,-0.7384793325646254,36864,173
bird1,5,6,0.01,-0.7338048387560884,36864,173
bird1,5,6,0.1,-0.731769815205925,36864,173
bird1,0,7,0.001,-1.7673284002522638,1,1
bird1,0,7,0.01,-1.767328398125325,1,1
bird1,0,7,0.1,-1.7673283772513921,1,1
bird1,1,7,0.001,-0.7931948947329817,9,8
bird1,1,7,0.01,-0.7930291895806005,9,8
bird1,1,7,0.1,-0.7928764888880167,9,8
bird1,2,7,0.001,-0.7505441345261579,72,34
bird1,2,7,0.01,-0.748676197908814,72,34
bird1,2,7,0.1,-0.7472890091300045,72,34
bird1,3,7,0.001,-0.736064826549951,576,72
bird1,3,7,0.01,-0.7341819975340486,576,72
bird1,3,7,0.1,-0.7332383722554153,576,72
bird1,4,7,0.001,-0.7453360572639227,4608,125
bird1,4,7,0.01,-0.740410371714836,4608,125
bird1,4,7,0.1,-0.7378287594030404,4608,125
bird1,5,7,0.001,-0.7590689626555056,36864,190
bird1,5,7,0.01,-0.7493479935759564,36864,190
bird1,5,7,0.1,-0.74401212487816,36864,190
bird1,0,8,0.001,-1.7684579731035706,1,1
bird1,0,8,0.01,-1.7684579159761997,1,1
bird1,0,8,0.1,-1.7684573452432468,1,1
bird1,1,8,0.001,-0.7880339511986205,9,8
bird1,1,8,0.01,-0.7877070907862608,9,8
bird1,1,8,0.1,-0.7874013093688613,9,8
bird1,2,8,0.001,-0.7461729828542704,72,34
bird1,2,8,0.01,-0.7441590133719447,72,34
bird1,2,8,0.1,-0.7426019325488051,72,34
bird1,3,8,0.001,-0.7395826080342297,576,78
bird1,3,8,0.01,-0.7364751890050261,576,78
bird1,3,8,0.1,-0.7342846066205819,576,78
bird1,4,8,0.001,-0.7435592997380767,4608,135
bird1,4,8,0.01,-0.7391585970686249,4608,135
bird1,4,8,0.1,-0.7363443407771555,4608,135
bird1,5,8,0.001,-0.7548880858238681,36864,205
bird1,5,8,0.01,-0.7473967338725774,36864,205
bird1,5,8,0.1,-0.7426109504966526,36864,205
bird1,0,9,0.001,-1.7364935332740514,1,1
bird1,0,9,0.01,-1.736493703167779,1,1
bird1,0,9,0.1,-1.7364954022903494,1,1
bird1,1,9,0.001,-0.7906447556065592,9,8
bird1,1,9,0.01,-0.7906472277963176,9,8
bird1,1,9,0.1,-0.790672413908074,9,8
bird1,2,9,0.001,-0.746264163171759,72,31
bird1,2,9,0.01,-0.7452361225887639,72,31
bird1,2,9,0.1,-0.7444730316217757,72,31
bird1,3,9,0.001,-0.7311513975566977,576,74
bird1,3,9,0.01,-0.7296105936921242,576,74
bird1,3,9,0.1,-0.7289146711331476,576,74
bird1,4,9,0.001,-0.7341194169394398,4608,132
bird1,4,9,0.01,-0.731129636166756,4608,132
bird1,4,9,0.1,-0.7297627738594891,4608,132
bird1,5,9,0.001,-0.7445511127911761,36864,206
bird1,5,9,0.01,-0.7383120264533435,36864,206
bird1,5,9,0.1,-0.7350959328316075,36864,206
bird1,0,10,0.001,-1.7465266539328843,1,1
bird1,0,10,0.01,-1.7465267528654878,1,1
bird1,0,10,0.1,-1.7465277424588235,1,1
bird1,1,10,0.001,-0.7890852496179899,9,8
bird1,1,10,0.01,-0.7889127927999484,9,8
bird1,1,10,0.1,-0.7887669488075735,9,8
bird1,2,10,0.001,-0.7489521522865986,72,33
bird1,2,10,0.01,-0.746777903757492,72,33
bird1,2,10,0.1,-0.744911769501681,72,33
bird1,3,10,0.001,-0.7357501010580597,576,69
bird1,3,10,0.01,-0.7333293251188429,576,69
bird1,3,10,0.1,-0.7315004656460341,576,69
bird1,4,10,0.001,-0.7425862350224828,4608,121
bird1,4,10,0.01,-0.7378904065307939,4608,121
bird1,4,10,0.1,-0.7348456272212676,4608,121
bird1,5,10,0.001,-0.7428162210485291,36864,184
bird1,5,10,0.01,-0.7384070873526176,36864,184
bird1,5,10,0.1,-0.7363672426399023,36864,184
bird1,0,11,0.001,-1.7649137499243754,1,1
bird1,0,11,0.01,-1.7649137642300519,1,1
bird1,0,11,0.1,-1.7649139076793834,1,1
bird1,1,11,0.001,-0.7844363783139349,9,8
bird1,1,11,0.01,-0.7837436075504167,9,8
bird1,1,11,0.1,-0.783073987389156,9,8
bird1,2,11,0.001,-0.7424070493663838,72,36
bird1,2,11,0.01,-0.7413437860576161,72,36
bird1,2,11,0.1,-0.740554037236232,72,36
bird1,3,11,0.001,-0.7320430257076179,576,71
bird1,3,11,0.01,-0.7294745897833584,576,71
bird1,3,11,0.1,-0.7276145955218369,576,71
bird1,4,11,0.001,-0.738098445464245,4608,114
bird1,4,11,0.01,-0.7345382566591545,4608,114
bird1,4,11,0.1,-0.7322530578290036,4608,114
bird1,5,11,0.001,-0.7479008527496889,36864,172
bird1,5,11,0.01,-0.7418591214287553,36864,172
bird1,5,11,0.1,-0.7379697404952366,36864,172
bird1,0,12,0.001,-1.7641390237477694,1,1
bird1,0,12,0.01,-1.7641389675153323,1,1
bird1,0,12,0.1,-1.764138405751699,1,1
bird1,1,12,0.001,-0.7905246925230444,9,8
bird1,1,12,0.01,-0.7900211560312816,9,8
bird1,1,12,0.1,-0.7895559800148428,9,8
bird1,2,12,0.001,-0.743884551070471,72,35
bird1,2,12,0.01,-0.7426776288651221,72,35
bird1,2,12,0.1,-0.7418026723201494,72,35
bird1,3,12,0.001,-0.7358436265181878,576,71
bird1,3,12,0.01,-0.7328051870857196,576,71
bird1,3,12,0.1,-0.7306249496807026,576,71
bird1,4,12,0.001,-0.7401719378039711,4608,122
bird1,4,12,0.01,-0.7373155884479633,4608,122
bird1,4,12,0.1,-0.7359458417479421,4608,122
bird1,5,12,0.001,-0.7477100265063555,36864,186
bird1,5,12,0.01,-0.741599599323584,36864,186
bird1,5,12,0.1,-0.7384448174220857,36864,186
bird1,0,13,0.001,-1.7815324397217709,1,1
bird1,0,13,0.01,-1.7815322661896376,1,1
bird1,0,13,0.1,-1.78153053168093,1,1
bird1,1,13,0.001,-0.7905853328748297,9,8
bird1,1,13,0.01,-0.7904370270148937,9,8
bird1,1,13,0.1,-0.7903176378709682,9,8
bird1,2,13,0.001,-0.7511441029272525,72,35
bird1,2,13,0.01,-0.7493037956093621,72,35
bird1,2,13,0.1,-0.7479545235029547,72,35
bird1,3,13,0.001,-0.7425180398321389,576,78
bird1,3,13,0.01,-0.7386155771414211,576,78
bird1,3,13,0.1,-0.7361755716507087,576,78
bird1,4,13,0.001,-0.7484857377236189,4608,142
bird1,4,13,0.01,-0.7427531332048631,4608,142
bird1,4,13,0.1,-0.7394803430393206,4608,142
bird1,5,13,0.001,-0.7597367473853021,36864,216
bird1,5,13,0.01,-0.7523705976624012,36864,216
bird1,5,13,0.1,-0.7486333577309484,36864,216
bird1,0,14,0.001,-1.756205241813597,1,1
bird1,0,14,0.01,-1.7562052574297087,1,1
bird1,0,14,0.1,-1.7562054140006813,1,1
bird1,1,14,0.001,-0.7863631574467375,9,8
bird1,1,14,0.01,-0.7858788507807686,9,8
bird1,1,14,0.1,-0.7854321379635015,9,8
bird1,2,14,0.001,-0.7380331728860094,72,35
bird1,2,14,0.01,-0.7372128787392531,72,35
bird1,2,14,0.1,-0.7366613354744936,72,35
bird1,3,14,0.001,-0.7293051317667997,576,73
bird1,3,14,0.01,-0.7267842055152961,576,73
bird1,3,14,0.1,-0.7252996777534508,576,73
bird1,4,14,0.001,-0.7349438923179952,4608,124
bird1,4,14,0.01,-0.7306339248047143,4608,124
bird1,4,14,0.1,-0.7280878199765424,4608,124
bird1,5,14,0.001,-0.7442836162741789,36864,192
bird1,5,14,0.01,-0.7371561421712557,36864,192
bird1,5,14,0.1,-0.7331320826765894,36864,192
bird1,0,15,0.001,-1.7749759499592959,1,1
bird1,0,15,0.01,-1.7749758079409466,1,1
bird1,0,15,0.1,-1.7749743885152682,1,1
bird1,1,15,0.001,-0.780799536581773,9,8
bird1,1,15,0.01,-0.7808026671202706,9,8
bird1,1,15,0.1,-0.78083510474518,9,8
bird1,2,15,0.001,-0.7389012140761987,72,35
bird1,2,15,0.01,-0.737222718295565,72,35
bird1,2,15,0.1,-0.7359913342655933,72,35
bird1,3,15,0.001,-0.7252247335030131,576,71
bird1,3,15,0.01,-0.7228541154895219,576,71
bird1,3,15,0.1,-0.7216323741930121,576,71
bird1,4,15,0.001,-0.7273566931464835,4608,120
bird1,4,15,0.01,-0.7235221855477396,4608,120
bird1,4,15,0.1,-0.7215507227449853,4608,120
bird1,5,15,0.001,-0.7452121560082807,36864,187
bird1,5,15,0.01,-0.7372074276140029,36864,187
bird1,5,15,0.1,-0.7323681162860243,36864,187
bird1,0,16,0.001,-1.7658006672131923,1,1
bird1,0,16,0.01,-1.765800650010588,1,1
bird1,0,16,0.1,-1.7658004784277812,1,1
bird1,1,16,0.001,-0.7878489948454069,9,8
bird1,1,16,0.01,-0.7873320099950085,9,8
bird1,1,16,0.1,-0.786858213086424,9,8
bird1,2,16,0.001,-0.7407479979203232,72,31
bird1,2,16,0.01,-0.7394920770180524,72,31
bird1,2,16,0.1,-0.7384237010914787,72,31
bird1,3,16,0.001,-0.7258538009759112,576,71
bird1,3,16,0.01,-0.7234900152396309,576,71
bird1,3,16,0.1,-0.7219446893446162,576,71
bird1,4,16,0.001,-0.7263446569133528,4608,116
bird1,4,16,0.01,-0.7229958426987995,4608,116
bird1,4,16,0.1,-0.7210268957046877,4608,116
bird1,5,16,0.001,-0.7296849255165755,36864,171
bird1,5,16,0.01,-0.7242878176787562,36864,171
bird1,5,16,0.1,-0.7211177764855161,36864,171
bird1,0,17,0.001,-1.7609956546804424,1,1
bird1,0,17,0.01,-1.7609956509711442,1,1
bird1,0,17,0.1,-1.760995614336324,1,1
bird1,1,17,0.001,-0.7835799705233393,9,8
bird1,1,17,0.01,-0.7832621772564787,9,8
bird1,1,17,0.1,-0.7829691663668962,9,8
bird1,2,17,0.001,-0.7427169097176076,72,36
bird1,2,17,0.01,-0.7415814619820614,72,36
bird1,2,17,0.1,-0.7407665137910266,72,36
bird1,3,17,0.001,-0.7336154257078976,576,79
bird1,3,17,0.01,-0.7304494258559237,576,79
bird1,3,17,0.1,-0.7284483442079377,576,79
bird1,4,17,0.001,-0.7385257448632226,4608,140
bird1,4,17,0.01,-0.7341702168848229,4608,140
bird1,4,17,0.1,-0.7320986679985094,4608,140
bird1,5,17,0.001,-0.746593393855491,36864,212
bird1,5,17,0.01,-0.7400009701091216,36864,212
bird1,5,17,0.1,-0.7369595677563606,36864,212
bird1,0,18,0.001,-1.762134338907275,1,1
bird1,0,18,0.01,-1.7621343083510634,1,1
bird1,0,18,0.1,-1.7621340032806125,1,1
